question,ID,en_question,similarity
"ข้อใดมีคําศัพท์ที่มีความหมายไม่ตรงกับคําที่ขีดเส้นใต้ต่อไปนี้
ประจัญบานข้าศึกคึกคะนอง",onet_054,"Which of the following has a word that does not match the meaning of the underlined word below?
Engage in battle with the enemy, spirited",0.64279807
ข้อใดมีการเชื่อมโยงความรู้สึกของผู้แต่งกับสิ่งที่พบเห็นระหว่างทาง,onet_055,Which of the following connects the author's feelings with what they encountered along the way?,0.869227
ข้อใดไม่แสดงความเชื่อ,onet_056,Which of the following does not express a belief?,0.7846577
"ศิลปะการประพันธ์ตามข้อใดไม่ปรากฏในคำ ประพันธ์ต่อไปนี้
ปลาทูชื่อดูชวน หวนคํานึงถึงเคหา
คํานึงถึงแก้วตา พธูน้อยผู้กลอยใจ",onet_057,"Which literary technique is not present in the following composition?
""The mackerel's name evokes memories of home,
Thinking of my beloved,
The little lady who captivates my heart.""",0.57730025
คำประพันธ์ต่อไปนี้ข้อใดมีแต่สัมผัสพยัญชนะไม่มีสัมผัสสระ,onet_058,Which of the following literary pieces contains only consonance and no assonance?,0.7129717
"ใช้คำประพันธ์ต่อไปนี้ตอบคำถามข้อ๕๗– ๕๘
๑) ยกสองมือเป็นสัญญาณยิงปืนไฟ ต่างลดใบโบกธงเข้ายงยุทธ์
๒) หากรบรับสัประยุทธ์ถึงจุดไฟ คงแก้ไขขัดสนจนปัญญา
๓) ชาวด่านต่างตระหนกทั้งนายไพร่ พวกโจรไล่แทงยิงลงกลิ้งกลาด
๔) ชาวนครเขาก็คงจะสงคราม พ่อขอให้ตามทัพกลับมาก่อน
๕) ปืนฝรั่งอังกฤษติดจะแรง ยิงกำแพงด่านกลจนพังครืน

คําประพันธ์ข้อใดมีจินตภาพด้านเสียง",onet_059,"Use the following verses to answer questions 57–58:
1) Raising both hands as a signal to fire the gun, everyone lowers their flags and engages in battle.
2) If the battle reaches the point of setting fires, it would be difficult to resolve and beyond our wits.
3) The villagers, both leaders and commoners, are all alarmed. The bandits chase, stab, and shoot, causing chaos.
4) The city folks would likely be at war. Father asks you to follow the troops back first.
5) The English guns are powerful, shooting at the fort walls until they collapse.

Which verse contains auditory imagery?",0.7160984
"ใช้คำประพันธ์ต่อไปนี้ตอบคำถามข้อ๕๗– ๕๘
๑) ยกสองมือเป็นสัญญาณยิงปืนไฟ ต่างลดใบโบกธงเข้ายงยุทธ์
๒) หากรบรับสัประยุทธ์ถึงจุดไฟ คงแก้ไขขัดสนจนปัญญา
๓) ชาวด่านต่างตระหนกทั้งนายไพร่ พวกโจรไล่แทงยิงลงกลิ้งกลาด
๔) ชาวนครเขาก็คงจะสงคราม พ่อขอให้ตามทัพกลับมาก่อน
๕) ปืนฝรั่งอังกฤษติดจะแรง ยิงกำแพงด่านกลจนพังครืน

เนื้อความตามข้อใดแสดงอารมณ์",onet_060,"Use the following verses to answer questions 57–58:
1) Raising both hands as a signal to fire the gun, everyone lowers their flags and engages in battle.
2) If the battle reaches a critical point, it would be difficult to resolve and beyond our capability.
3) The villagers, both leaders and commoners, are in panic; the bandits chase, stab, and shoot, causing chaos.
4) The city dwellers would likely face war; father asks to follow the troops back first.
5) The English guns are powerful, shooting down the fort walls until they collapse.

Which passage conveys emotion?",0.76043683
"คำประพันธ์ต่อไปนี้ใช้ภาพพจน์ตามข้อใด
อันชาติใดไร้ช่างชำนาญศิลป์ เหมือนนารินไร้โฉมบรรโลมสง่า
ใครใครเห็นไม่เป็นที่จำเริญตา เขาจะพากันเย้ยให้อับอาย",onet_061,"Which literary device is used in the following verse?
A nation without skilled artisans in the arts
Is like a beautiful woman without grace and elegance
No one would find it pleasing to the eye
They would mock and bring shame",0.67288727
"ข้อใดเป็นแนวคิดของคำ ประพันธ์ต่อไปนี้
ถึงบางพรมพรหมมีอยู่สี่พักตร์ คนรู้จักแจ้งจิตทุกทิศา
ทุกวันนี้มีมนุษย์อยุธยา เป็นร้อยหน้าพันหน้ายิ่งกว่าพรหม",onet_062,"Which of the following is the concept of the following verse?
""Even Brahma, who has four faces, is known to understand all directions.
Nowadays, there are humans in Ayutthaya with hundreds and thousands of faces, even more than Brahma.""",0.70967406
หลักการของพระพุทธศาสนาเน้นในเรื่องทางสายกลาง (มัชฌิมาปฏิปทา) ไม่ทําอะไรเกินตัว ทำแต่พอดี พอเหมาะ พอสม ไม่มากจนเกินไป ในขณะเดียวกันก็ไม่น้อยจนเกินไปจนทำให้ลำบาก ซึ่งนับเป็นหลักการ สำคัญอย่างหนึ่งที่รองรับแนวคิดเศรษฐกิจพอเพียงและการพัฒนาที่ยั่งยืน จากข้อความข้างต้น ทางสายกลางในพระพุทธศาสนาตรงกับหลักธรรม ข้อใด,onet_063,"The principles of Buddhism emphasize the Middle Way (Majjhima Patipada), which means not overdoing things, doing things in moderation, appropriately, and suitably—not too much and not too little to the point of causing hardship. This is considered an important principle that supports the concept of a sufficiency economy and sustainable development. Based on the above passage, which principle of Buddhism does the Middle Way correspond to?",0.65996367
มีหลักพุทธธรรมหลายข้อที่ถือว่าเป็นหลักการที่รองรับแนวคิดเศรษฐกิจพอเพียง และการพัฒนาที่ยั่งยืนของพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดช มหาราชบรมนาถบพิตร รัชกาลที่ 9 และหนึ่งในพุทธธรรมที่สำคัญอีกหลักการหนึ่งคือ “สัปปุริสธรรม 7” โดยเฉพาะข้อ “มัตตัญญุตา ความเป็นผู้รู้จักประมาณ ซึ่งสอดคล้องกับพระบรมราโชวาทที่ว่า “ความพอเพียงนี้ก็แปลว่าความพอประมาณ” จากข้อความข้างต้น สุภาษิตข้อใดแสดงถึงการมีคุณธรรมข้อมัตตัญญุตา,onet_064,"There are many principles of Buddhist teachings that are considered to support the concept of the Sufficiency Economy and sustainable development of His Majesty King Bhumibol Adulyadej The Great, King Rama IX. One of the important Buddhist principles is the ""Seven Virtues of a Good Person"" (Sappurisa-dhamma 7), especially the principle of ""Mattaññutā,"" which means knowing moderation. This aligns with the royal speech that says, ""Sufficiency means moderation."" From the above passage, which proverb reflects the virtue of Mattaññutā?",0.66482496
การพัฒนาที่ยั่งยืนเชิงพุทธศาสนามองคนกับสิ่งแวดล้อมว่า “คนต้องมีความสัมพันธ์กับสิ่งแวดล้อมอย่างเอื้อเฟื้อเกื้อกูลกัน” ซึ่งจัดเป็นวิธีคิดแบบคนเป็นส่วนหนึ่งของธรรมชาติและสิ่งแวดล้อม ไม่ใช่เป็นนายเหนือธรรมชาติและสิ่งแวดล้อม ซึ่งสอดคล้องกับหลักการพัฒนาเชิงพุทธศาสนาที่เรียกว่า “ภาวนา (การพัฒนา)” จากข้อความข้างต้น “การพัฒนาที่เน้นให้คนมีความสัมพันธ์กับสิ่งแวดล้อมอย่างเอื้อเฟื้อเกื้อกูลกัน” ตรงกับหลักภาวนา (การพัฒนา) ข้อใด,onet_065,"English: Buddhist sustainable development views the relationship between humans and the environment as one of mutual support and interdependence. This perspective considers humans as part of nature and the environment, rather than as masters over them. This aligns with the Buddhist principle of ""Bhavana (development)."" Based on the above statement, which principle of Bhavana (development) corresponds to ""development that emphasizes a mutually supportive relationship between humans and the environment""?",0.7738368
ข้อใดจัดเป็นธรรมาธิปไตยในพระพุทธศาสนา,onet_066,Which of the following is considered Dhamma-based governance in Buddhism?,0.56983745
มุสลิมคนใดต้องถือศีลอดตามหลักศาสนาอิสลาม,onet_067,Which Muslims are required to fast according to Islamic principles?,0.8089361
ใครคือผู้ใช้แนวการแสวงหาโมกขธรรมของพระพุทธเจ้ามาพัฒนาชีวิตได้ถูกต้อง,onet_068,Who is the person who correctly applies the Buddha's path to enlightenment to develop their life?,0.71977556
เหตุการณ์ใดไม่ได้ปรากฏอยู่ในวันวิสาขบูชา,onet_069,Which event does not occur on Visakha Bucha Day?,0.6655407
บุคคลในข้อใดจัดเป็นอภัพพบุคคล ประเภทบุคคลที่ห้ามอุปสมบทแบบเด็ดขาด,onet_070,"Which type of person is considered an ""abhabbapuggala"" (a person who is absolutely prohibited from ordination)?",0.66011673
นายดำ : วันพระหน้านี้เราอยากจะถวายภัตตาหารแด่พระสงฆ์ เราต้องทำอย่างไร นายแดง : เธอต้องเตรียมอาหารคาวและหวาน หรือผลไม้ก็ได้ แล้วไปถวายที่วัดในช่วงเวลาก่อนเพล นายดำ : เราต้องทําอย่างไรในการถวายพระ นายแดง : !!!??? หากนักเรียนเป็นนายแดง จะแนะนำนายดำตามข้อใดจึงจะเหมาะสมที่สุด,onet_071,"Mr. Dam: On the next Buddhist holy day, we want to offer food to the monks. What should we do?

Mr. Daeng: You need to prepare savory and sweet dishes, or fruits, and then offer them at the temple before noon.

Mr. Dam: What should we do when offering to the monks?

Mr. Daeng: !!!??? If you were Mr. Daeng, what would be the most appropriate advice to give Mr. Dam?",0.71452737
ข้อใดกล่าวไม่ถูกต้องเกี่ยวกับการแสดงปฐมเทศนาของพระพุทธเจ้ากับพระเยซูคริสต์,onet_072,Which of the following statements is incorrect regarding the first sermon of the Buddha and Jesus Christ?,0.7869197
เมื่อวันที่ 10 กันยายน 2563 นายหนึ่งยืมรถจักรยานจากนายสอง โดยตกลงว่าจะคืนรถจักรยานให้ในวันที่ 10 มกราคม 2564 ต่อมาหลังครบกำหนดส่งคืน นายหนึ่งไม่ได้คืนรถให้นายสอง แต่ได้ขายรถคันดังกล่าวให้นายสามเมื่อวันที่ 1 กุมภาพันธ์ 2564 โดยนายสองรู้เมื่อวันที่ 15 กุมภาพันธ์ 2564 ว่านายหนึ่งขายรถของตนให้นายสามไปแล้ว นายสองจะต้องไปแจ้งความร้องทุกข์ต่อพนักงานสอบสวนอย่างช้าที่สุดวันใด เพื่อไม่ให้คดีขาดอายุความ,onet_073,"On September 10, 2020, Mr. One borrowed a bicycle from Mr. Two, agreeing to return the bicycle on January 10, 2021. However, after the due date, Mr. One did not return the bicycle to Mr. Two but instead sold it to Mr. Three on February 1, 2021. Mr. Two found out on February 15, 2021, that Mr. One had sold his bicycle to Mr. Three. By what latest date must Mr. Two file a complaint with the investigating officer to prevent the statute of limitations from expiring?",0.8041291
"นายหนึ่งอยู่กรุงเทพมหานคร ส่วนนายสองอยู่จังหวัดแพร่ นายหนึ่งและนายสอง ได้ส่งโทรสาร (Fax) ติดต่อกันเพื่อซื้อไม้แกะสลัก โดยติดต่อกันดังนี้ นายหนึ่ง : มีไม้แกะสลักขายไหม ตามรูปแบบที่ส่งมาให้ และราคาชิ้นละเท่าไร นายสอง : มี ราคาชิ้นละ 200 บาท นายหนึ่ง : ซื้อ 1,000 ชิ้นได้ไหม แต่ขอราคาชิ้นละ 180 บาท นายสอง : ได้ แต่ชิ้นละ 190 บาท นายหนึ่ง : ตกลง และช่วยคัดชิ้นสวย ๆ นะ สัญญาระหว่างนายหนึ่งและนายสองเกิดขึ้นที่ใด มีเนื้อหาตามข้อใด",onet_074,"Mr. One is in Bangkok, while Mr. Two is in Phrae Province. Mr. One and Mr. Two communicated via fax to negotiate the purchase of carved wood as follows:

Mr. One: Do you have carved wood for sale according to the design I sent? And what is the price per piece?
Mr. Two: Yes, the price is 200 baht per piece.
Mr. One: Can I buy 1,000 pieces, but at a price of 180 baht per piece?
Mr. Two: Yes, but at 190 baht per piece.
Mr. One: Agreed, and please select beautiful pieces.

Where did the contract between Mr. One and Mr. Two take place, and what are its terms?",0.7512287
ตามหลักกฎหมายที่ระบุว่า “ผู้ใดใส่ความผู้อื่นต่อบุคคลที่สามโดยประการที่น่าจะทำให้ผู้อื่นนั้นเสียชื่อเสียง ถูกดูหมิ่น หรือถูกเกลียดชัง ผู้นั้นกระทำความผิดฐานหมิ่นประมาท” ในกรณีที่นายเอ โกรธนายบีเนื่องจากนายบียืมเงินของตนแล้วไม่ใช้คืน นายเอจึงชี้หน้าด่า นายบีว่า “ไอ้ชาติชั่ว ลูกไม่มีพ่อไม่มีแม่” ข้อใดถูกต้อง,onet_075,"According to the legal principle that states, ""Whoever defames another person to a third party in a manner likely to cause that person to lose their reputation, be despised, or be hated, commits the offense of defamation,"" in the case where Mr. A is angry at Mr. B because Mr. B borrowed money from him and did not repay it, and Mr. A then points at Mr. B and insults him by saying, ""You scoundrel, you have no parents,"" which of the following is correct?",0.7835312
ปฏิญญาสากลว่าด้วยสิทธิมนุษยชนมีความสำคัญต่อการอยู่ร่วมกันอย่างสันติสุขตามข้อใด,onet_076,The Universal Declaration of Human Rights is important for peaceful coexistence in which way?,0.79496646
การอนุรักษ์วัฒนธรรมไทยอย่างยั่งยืน จำเป็นต้องส่งเสริมแนวทาง การอนุรักษ์บนหลักการใดเป็นสำคัญ,onet_077,The sustainable preservation of Thai culture requires promoting conservation approaches based on which key principles?,0.79456186
ข้อใดไม่ใช่วัฒนธรรมไทยที่รับมาจากกลุ่มวัฒนธรรมของชนชาติอื่น,onet_078,Which of the following is not a Thai culture adopted from other ethnic groups?,0.796159
ในทางรัฐศาสตร์ ข้อใดถูกต้อง,onet_079,"In political science, which of the following is correct?",0.748866
ภายใต้รัฐธรรมนูญ ฐานะหรือพระราชอำนาจใด เป็นพระเกียรติยศอันไม่ใช่ พระราชอำนาจที่สามารถใช้ด้วยพระองค์เองได้อย่างแท้จริง,onet_080,"Under the constitution, which status or royal power is an honorary position that cannot be exercised by the monarch personally in a true sense?",0.8110378
ข้อใดกล่าวถึงอิทธิพลของระบอบเสรีประชาธิปไตย (liberal democracy) ที่มีต่อประชาชนในเรื่องความเสมอภาคไม่ถูกต้อง,onet_081,Which of the following statements incorrectly describes the influence of liberal democracy on the equality of the people?,0.80316603
ใช้สถานการณ์ต่อไปนี้ตอบคำถามข้อ 21-22 ภายใต้กระแสโลกาภิวัตน์ทางเศรษฐกิจ รัฐชาติกำลังกลายรูปสู่รัฐตลาด โดยผิวเผิน อาจดูคล้ายการเพิ่มอำนาจแก่ภาคสังคมหรือเป็นการขยายตัวสู่ประชาธิปไตย แต่ในความเป็นจริงแล้ว สภาพการณ์นี้เท่ากับเป็นการถ่ายเทอธิปไตยหลายส่วนของรัฐ ไปสู่กลไกตลาดเสียมากกว่า จากสถานการณ์ดังกล่าว สร้างความเสื่อมแก่อุดมคติหรือแนวคิดสำคัญทางการเมือง ยกเว้นข้อใด,onet_082,"Use the following scenario to answer questions 21-22: Under the current of economic globalization, nation-states are transforming into market states. Superficially, this may seem like an increase in the power of the social sector or an expansion towards democracy. However, in reality, this situation equates to the transfer of many aspects of state sovereignty to market mechanisms. From the given scenario, which political ideal or important concept is not undermined?",0.79428357
ใช้สถานการณ์ต่อไปนี้ตอบคำถามข้อ 21-22 ภายใต้กระแสโลกาภิวัตน์ทางเศรษฐกิจ รัฐชาติกำลังกลายรูปสู่รัฐตลาด โดยผิวเผิน อาจดูคล้ายการเพิ่มอำนาจแก่ภาคสังคมหรือเป็นการขยายตัวสู่ประชาธิปไตย แต่ในความเป็นจริงแล้ว สภาพการณ์นี้เท่ากับเป็นการถ่ายเทอธิปไตยหลายส่วนของรัฐ ไปสู่กลไกตลาดเสียมากกว่า จากสถานการณ์และสภาพปัญหาดังกล่าวข้างต้น ข้อใดเป็นแนวทางแก้ไขปัญหาที่สอดคล้องกับหลักการของระบอบประชาธิปไตย,onet_083,"Use the following scenario to answer questions 21-22: Under the current of economic globalization, nation-states are transforming into market states. Superficially, this may appear to be an increase in the power of the social sector or an expansion towards democracy. However, in reality, this situation equates to the transfer of several aspects of state sovereignty to market mechanisms. Based on the aforementioned situation and problems, which of the following is a solution that aligns with the principles of democracy?",0.85146546
ข้อใดไม่จัดว่าเป็นปัจจัยทุนหรือสินค้าทุนตามความหมายทางเศรษฐศาสตร์,onet_084,Which of the following is not considered a capital factor or capital goods according to the economic definition?,0.7889968
การสูงขึ้นของราคาหน้ากากอนามัยในช่วงที่เกิดการระบาดของเชื้อไวรัสโคโรนา (COVID - 19) เกิดขึ้นใหม่ ๆ ในแทบทุกประเทศมาจากสาเหตุใดมากที่สุด,onet_085,What is the main cause of the increase in the price of face masks during the initial outbreak of the coronavirus (COVID-19) in almost every country?,0.8173027
เมื่อกลุ่ม OPEC ประกาศลดปริมาณการผลิตน้ำมันลง ทำให้ราคาน้ำมันในตลาดโลกสูงขึ้น ส่งผลต่อตลาดน้ำมันเบนซินซึ่งถือเป็นสินค้าจำเป็นของไทย โดยราคาขายปลีก น้ำมันเบนซินในประเทศสูงขึ้นอย่างมากและมีผลกระทบต่อการดำรงชีวิตของคนในประเทศ จากสถานการณ์ข้างต้น ถ้ารัฐบาลต้องการช่วยเหลือผู้บริโภคน้ำมันเบนซิน รัฐบาลควรใช้มาตรการตามข้อใด,onet_086,"When OPEC announces a reduction in oil production, it causes global oil prices to rise, impacting the gasoline market, which is considered an essential commodity in Thailand. The retail price of gasoline in the country increases significantly, affecting the livelihood of people in the country. Given the above situation, if the government wants to help gasoline consumers, which measure should the government take?",0.827608
กำหนดลักษณะต่าง ๆ ของตลาดสินค้าและบริการ ดังนี้ ก. มีผู้ซื้อและผู้ขายจำนวนมาก ข. ผู้ผลิตไม่มีอำนาจในการกำหนดราคา ค. สินค้ามีลักษณะเหมือนกันทุกประการ ง. สินค้ามีความแตกต่างกัน แต่ใช้แทนกันได้ จ. มีอุปสรรคในการเข้าหรือออกจากตลาด ฉ. การเข้าหรือออกจากตลาดเป็นไปอย่างเสรี ช. ในระยะยาวหน่วยผลิตไม่มีกำไรเกินปกติ ข้อใดเป็นลักษณะของตลาดแข่งขันสมบูรณ์ที่มีความเหมือนกับตลาดกึ่งแข่งขันกึ่งผูกขาด,onet_087,"Specify the characteristics of the goods and services market as follows:
a. There are many buyers and sellers.
b. Producers have no power to set prices.
c. The goods are identical in every way.
d. The goods are different but can be substituted for each other.
e. There are barriers to entering or exiting the market.
f. Entry or exit from the market is free.
g. In the long run, production units do not make abnormal profits.

Which of the above characteristics are similar between a perfectly competitive market and a monopolistic competition market?",0.823151
ข้อใดกล่าวไม่ถูกต้องเกี่ยวกับสหกรณ์ในประเทศไทย,onet_088,Which of the following statements is incorrect about cooperatives in Thailand?,0.60243803
ข้อใดคือสาเหตุหลักที่มีการอัญเชิญหลักปรัชญาเศรษฐกิจพอเพียงมาไว้ในแผนพัฒนาเศรษฐกิจและสังคมแห่งชาติ,onet_089,Which of the following is the main reason for incorporating the philosophy of sufficiency economy into the National Economic and Social Development Plan?,0.74609315
เงินเฟ้อที่เกิดจากการเพิ่มขึ้นของค่าจ้างแรงงาน เป็นสาเหตุของเงินเฟ้อในข้อใด,onet_090,Inflation caused by an increase in labor wages is a cause of which type of inflation?,0.7988969
รัฐบาลจะก่อหนี้สาธารณะเมื่อเกิดเหตุการณ์ใด,onet_091,"The English translation of the Thai question ""รัฐบาลจะก่อหนี้สาธารณะเมื่อเกิดเหตุการณ์ใด"" is:

""When will the government incur public debt?""",0.7777669
ข้อใดกล่าวถูกต้องเกี่ยวกับการค้าระหว่างประเทศ,onet_092,Which of the following statements is correct regarding international trade?,0.9039729
ข้อใดไม่ใช่หน้าที่ขององค์การการค้าโลก,onet_093,Which of the following is not a function of the World Trade Organization?,0.8576068
ระบบอัตราแลกเปลี่ยนที่ปล่อยให้ค่าเงินเป็นไปตามกลไกของตลาดหรือเป็นไปตามอุปสงค์และอุปทานของเงินสกุลนั้นที่ทำงานได้ในระดับหนึ่ง โดยธนาคารกลาง มีหน้าที่ดูแลตลาดเงินให้มีความเหมาะสมตามความเป็นจริงของตลาดเงินเป็นระบบอัตราแลกเปลี่ยนแบบใด,onet_094,"What type of exchange rate system allows the currency value to be determined by market mechanisms or the supply and demand of that currency to some extent, with the central bank responsible for overseeing the money market to ensure it aligns with the actual conditions of the money market?",0.8176662
“การสร้างพระมหาปราสาทสำเร็จได้ยกยอดเมื่อวันศุกร์ เดือน ๔ ขึ้น ๑๐ ค่ำ ปีมะโรง ฉศก จุลศักราช ๑๑๔๖” เหตุการณ์ดังกล่าวนี้เกิดขึ้นในปีพุทธศักราชใด,onet_095,"""The construction of the Great Palace was completed on Friday, the 10th day of the waxing moon in the 4th month of the Year of the Dragon, 6th cycle, Chula Sakarat 1146."" In which Buddhist year did this event occur?",0.67831945
การศึกษาเหตุการณ์ในประวัติศาสตร์ในข้อใดที่สามารถใช้พระราชพงศาวดาร ฉบับหลวงประเสริฐอักษรนิติ์เป็นหลักฐานได้,onet_096,The study of which historical events can use the Royal Chronicles of Luang Prasoet Aksornniti as evidence?,0.6235874
ข้อใดไม่ใช่เหตุปัจจัยโดยตรงของการเกิดรัฐโบราณในดินแดนประเทศไทยช่วงก่อนพุทธศตวรรษที่ 18,onet_097,Which of the following is not a direct factor in the formation of ancient states in the territory of Thailand before the 18th Buddhist century?,0.75910044
ข้อใดไม่ใช่ส่วนหนึ่งของการดำเนินการเลิกระบบทาสของพระบาทสมเด็จ พระจุลจอมเกล้าเจ้าอยู่หัว,onet_098,Which of the following is not a part of King Chulalongkorn's abolition of the slavery system?,0.66701007
นายกรัฐมนตรีไทยท่านใดที่ไม่ได้พ้นจากตำแหน่งจากการทำรัฐประหาร,onet_099,Which Thai Prime Minister did not leave office due to a coup d'état?,0.7072251
ข้อใดไม่ใช่เหตุการณ์ที่เกิดขึ้นในช่วงครึ่งแรกของคริสต์ศตวรรษที่ 20,onet_100,Which of the following is not an event that occurred in the first half of the 20th century?,0.92977417
อิทธิพลของพราหมณ์-ฮินดู สามารถพบได้ชัดเจนที่สุดในเกาะไดในอินโดนีเซีย,onet_101,The influence of Brahmanism-Hinduism can be most clearly seen on which island in Indonesia?,0.70738864
ข้อใดไม่ใช่สาเหตุของการปฏิวัติเกษตรกรรม,onet_102,Which of the following is not a cause of the Agricultural Revolution?,0.87849605
ผลของการสำรวจทางทะเลของนักเดินเรือคนใดที่เป็นเหตุให้เกิดข้อพิพาทระหว่างสเปนกับโปรตุเกสจนนำไปสู่การลงนามในสนธิสัญญาทอ เดซิลลาสใน ค. ศ. 1494 มากที่สุด,onet_103,"Which mariner's maritime exploration led to a dispute between Spain and Portugal, resulting in the signing of the Treaty of Tordesillas in 1494?",0.7992029
ข้อใดไม่ใช่ปัจจัยที่ก่อให้เกิดการปฏิวัติใหญ่ในฝรั่งเศสใน ค. ศ. 1789,onet_104,Which of the following is not a factor that led to the Great Revolution in France in 1789?,0.9324859
ข้อใดไม่สัมพันธ์กับการเมืองระหว่างประเทศสมัยหลังสงครามโลกครั้งที่สอง,onet_105,Which of the following is not related to international politics after World War II?,0.8920715
ลักษณะภูมิประเทศในข้อใดไม่ได้เกิดจากแรงกระทำจากภายในโลก,onet_106,Which type of landform is not caused by internal forces of the Earth?,0.8067852
ที่ดินที่มีความอุดมสมบูรณ์ มีหญ้านานาชนิด เหมาะแก่การเลี้ยงสัตว์ พบได้ทางตอนกลางของทวีปอเมริกาเหนือ ปริมาณฝนเฉลี่ย 25 – 50 เซนติเมตรต่อปี อากาศร้อนในฤดูร้อนและค่อนข้างหนาวเย็นในฤดูหนาว คือชีวนิเวศแบบใด,onet_107,"What type of biome is characterized by fertile land with various types of grasses, suitable for grazing animals, found in the central part of North America, with an average annual rainfall of 25-50 centimeters, hot summers, and relatively cold winters?",0.7536894
ภูเขาแบล็คฟอเรสต์ (Blackforest) ในประเทศเยอรมนีเกิดจากกระบวนการแปรสัณฐาน เป็นลักษณะใด,onet_108,What type of tectonic process formed the Black Forest mountain in Germany?,0.77794486
ข้อใดเสี่ยงต่อการเกิดแผ่นดินถล่มน้อยที่สุด,onet_109,Which of the following is the least likely to cause a landslide?,0.7748704
ข้อใดไม่ใช่สาเหตุของภัยแล้ง,onet_110,Which of the following is not a cause of drought?,0.8366526
การตั้งถิ่นฐานที่มีศาสนสถานเป็นศูนย์กลางและล้อมรอบไปด้วยบ้านเรือน ในเขตที่ราบกว้างใหญ่ในแถบทวีปเอเชีย เป็นการตั้งถิ่นฐานรูปแบบใด,onet_111,What type of settlement is characterized by having a religious site at its center and being surrounded by houses in a vast plain area in Asia?,0.85456127
ข้อใดไม่ใช่ลักษณะการกระจายของประชากรโลก,onet_112,Which of the following is not a characteristic of the distribution of the world's population?,0.8802949
ข้อใดไม่ใช่แนวทางที่ถูกต้องในการจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,onet_113,Which of the following is not a correct approach to managing natural resources and the environment?,0.90004575
กังหันน้ำชัยพัฒนาเป็นนวัตกรรมในโครงการอันเนื่องมาจากพระราชดำริ ในพระบาทสมเด็จพระเจ้าอยู่หัวรัชกาลที่ 9 เพื่อแก้ปัญหาใด,onet_114,The Chaipattana Low-Speed Surface Aerator is an innovation under the royal initiative of His Majesty King Rama IX to solve which problem?,0.6322032
การต่อต้านการลักลอบนำเข้าขยะพลาสติกที่มีการปนเปื้อนสารพิษอันตราย เป็นการปฏิบัติตามข้อตกลงตามอนุสัญญาในข้อใด,onet_115,"The translation of the Thai question into English is:

""Opposing the smuggling of plastic waste contaminated with hazardous toxins is in accordance with which convention agreement?""",0.73134327
ข้อใดกล่าวไม่ถูกต้องเกี่ยวกับพายุหมุน,onet_116,Which statement is incorrect about cyclones?,0.7636683
" กำหนดให้ x , y , z เป็นจำนวนจริงที่ไม่เท่ากับศูนย์และ sqrt(x^2 y^4 z^2 = - xy^2z  ข้อใดต่อไปนี้เป็นไปไม่ได้",onet_117,"Given that \( x, y, z \) are non-zero real numbers and \( \sqrt{x^2 y^4 z^2} = -xy^2z \), which of the following is impossible?",0.86541176
"กำหนดให้ p และ q เป็นประพจน์ 
ข้อใดต่อไปนี้ สามารถมีค่าความจริงได้มากกว่า 1 ค่า",onet_118,"Given that \( p \) and \( q \) are propositions, which of the following can have more than one truth value?",0.84406614
"กำหนดให้  U = {1,2,3,...,50} และ
                A =  {neu | n เป็นจำนวนคู่}
                B =  {neu | n หารด้วย 3 ลงตัว}
จำนวนสมาชิกของ A – (A^B)  เท่ากับเท่าใด",onet_119,"Given that \( U = \{1, 2, 3, \ldots, 50\} \) and
\( A = \{n \mid n \text{ is an even number}\} \)
\( B = \{n \mid n \text{ is divisible by 3}\} \)
What is the number of elements in \( A - (A \cap B) \)?",0.7113979
"ในการแข่งขันกีฬาสามประเภท ของโรงเรียนบ้านโกงกาง
มีนักกีฬา 37 คนได้เหรียญรางวัลจากกีฬาวิ่ง
มีนักกีฬา 13 คนได้เหรียญรางวัลจากกีฬาว่ายน้ำ และ
มีนักกีฬา 19 คนได้เหรียญ รางวัลจากกีฬาปันจักรยาน
ถ้ามีนักกีฬาที่ได้รับเหรียญรางวัลทั้งหมด 46 คนซึ่งมีเพียง 3 คนที่ได้เหรียญรางวัล
จากทุกประเภทกีฬาแล้วมีนักกีฬากี่คน ที่ได้เหรียญจากสองประเภทกีฬาเท่านั้น",onet_120,"In the school's tri-sport competition at Ban Kong Kang School:
- 37 athletes won medals in running,
- 13 athletes won medals in swimming, and
- 19 athletes won medals in cycling.

If there are a total of 46 athletes who won medals, with only 3 athletes winning medals in all three sports, how many athletes won medals in exactly two sports?",0.71116894
"ตามสถิติของการเกิดโรคระบาดครั้งหนึ่งเมือง ก มีจำนวนผู้ป่วยลดลงวันละ 22 คน
ในขณะที่เมือง ข มีจำนวนผู้ป่วยเพิ่มขึ้นวันละ 15 คนถ้าในวันนี้เมือง ก และเมือง ข
มีจำนวนผู้ป่วยมีผู้ป่วยจำนวน 745 คนและ 42 คนแล้วเมื่อทั้งสองเมืองตามลำดับ
เท่ากันนั้น แต่ละเมืองมีผู้ป่วยจำนวนเท่าใด",onet_121,"According to the statistics of a certain epidemic, the number of patients in City A decreases by 22 people per day, while the number of patients in City B increases by 15 people per day. If today City A and City B have 745 and 42 patients respectively, how many patients will each city have when the number of patients in both cities is equal?",0.8445412
